ticket_id,cliente_id,data_abertura,canal,categoria,prioridade,tempo_resposta_horas,tempo_resolucao_horas,satisfacao_cliente
TCK-00053,CLI-066,2026-01-07,chat,elogio,baixa,"2,78",9.339679721612434,3.0
TCK-00054,CLI-085,2026-01-07,email,cobranca,media,"5,13",13.552211612745541,5.0
TCK-00055,CLI-090,2026-01-07,telefone,elogio,critica,"1,63",5.474005566170936,5.0
TCK-00056,CLI-008,2026-01-07,telefone,duvida_de_uso,media,"2,37",8.705711493696255,5.0
TCK-00057,CLI-099,2026-01-07,email,duvida_de_uso,media,"0,69",3.725591796518948,4.0
TCK-00058,CLI-028,2026-01-07,telefone,bug,critica,,8.70610017114607,4.0
TCK-00059,CLI-134,2026-01-07,email,cobranca,media,"5,48",13.168327384746984,3.0
TCK-00060,CLI-123,2026-01-07,telefone,cobranca,media,"2,98",7.082622555850464,4.0
TCK-00061,CLI-167,2026-01-07,telefone,duvida_de_uso,baixa,"6,76",14.06145237754552,4.0
TCK-00062,CLI-135,2026-01-07,chat,bug,alta,"1,54",9.124024641776947,
TCK-00063,CLI-066,2026-01-07,email,duvida_de_uso,alta,,5.180165865128809,5.0
TCK-00064,CLI-175,2026-01-07,chat,cobranca,alta,"1,37",6.028080176997902,5.0
TCK-00065,CLI-074,2026-01-07,email,elogio,media,"5,86",14.42179450508342,
TCK-00066,CLI-059,2026-01-07,chat,bug,media,"6,03",13.770156922571758,4.0
TCK-00067,CLI-163,2026-01-07,email,bug,baixa,"12,50",26.512273445321775,5.0
TCK-00068,CLI-067,2026-01-07,chat,duvida_de_uso,critica,"3,26",9.363927992351103,4.0
TCK-00069,CLI-014,2026-01-07,telefone,bug,baixa,"6,55",13.48215495796109,3.0
TCK-00070,CLI-085,2026-01-07,email,elogio,media,"0,88",5.380703871196488,5.0
TCK-00071,CLI-144,2026-01-07,email,duvida_de_uso,alta,,4.235047829432826,5.0
TCK-00072,CLI-035,2026-01-07,chat,duvida_de_uso,baixa,"1,01",7.437954943522779,4.0
TCK-00073,CLI-084,2026-01-07,email,bug,media,"8,55",19.034629148327298,4.0
TCK-00074,CLI-024,2026-01-07,email,duvida_de_uso,baixa,"8,47",17.192087759004867,4.0
TCK-00075,CLI-124,2026-01-08,email,elogio,media,"14,38",29.391065606584217,
TCK-00076,CLI-086,2026-01-08,email,duvida_de_uso,critica,"1,66",4.596333038133136,5.0
TCK-00077,CLI-060,2026-01-08,chat,bug,media,"1,95",6.897061155288073,4.0
TCK-00078,CLI-041,2026-01-08,chat,bug,critica,"0,41",3.403063888125379,5.0
TCK-00079,CLI-102,2026-01-08,email,elogio,baixa,"0,97",3.507748200964617,4.0
TCK-00080,CLI-121,2026-01-08,chat,elogio,media,"1,66",4.736563901303895,5.0
TCK-00081,CLI-170,2026-01-08,email,bug,critica,"1,72",9.755048845805934,5.0
TCK-00082,CLI-079,2026-01-08,email,duvida_de_uso,alta,"1,74",6.2729074204906565,5.0
TCK-00083,CLI-029,2026-01-08,chat,bug,media,"1,29",4.668305734568332,5.0
TCK-00084,CLI-150,2026-01-08,email,duvida_de_uso,alta,"9,21",18.679380831127286,3.0
TCK-00085,CLI-114,2026-01-08,chat,bug,alta,"4,45",11.723179896667325,
TCK-00086,CLI-127,2026-01-08,telefone,cobranca,alta,"1,47",4.6835996129415385,
TCK-00087,CLI-018,2026-01-08,chat,elogio,media,"4,37",9.222148337978554,2.0
TCK-00088,CLI-057,2026-01-08,chat,bug,baixa,"1,11",4.947591872709232,4.0
TCK-00089,CLI-139,2026-01-08,email,duvida_de_uso,baixa,"0,86",4.493645313189243,4.0
TCK-00090,CLI-150,2026-01-09,email,bug,media,"2,08",6.118913153253379,5.0
TCK-00091,CLI-079,2026-01-09,email,bug,media,"4,32",9.446666183220294,5.0
TCK-00092,CLI-145,2026-01-09,chat,bug,baixa,"0,97",4.165469348809387,4.0
TCK-00093,CLI-152,2026-01-09,telefone,bug,baixa,"5,37",11.9526149450568,4.0
TCK-00094,CLI-070,2026-01-09,email,elogio,media,"2,21",6.057932479324636,5.0
TCK-00095,CLI-162,2026-01-09,email,bug,media,"4,56",11.616108909399621,
TCK-00096,CLI-052,2026-01-09,email,cobranca,media,"1,45",8.95183914583583,4.0
TCK-00097,CLI-044,2026-01-09,chat,bug,media,"2,10",8.778228423657316,3.0
TCK-00098,CLI-123,2026-01-09,chat,duvida_de_uso,baixa,"1,00",7.713592569649797,4.0
TCK-00099,CLI-115,2026-01-09,chat,duvida_de_uso,alta,"1,70",5.214733479113167,4.0
TCK-00100,CLI-026,2026-01-09,telefone,elogio,media,"11,82",26.79485595475888,3.0
TCK-00101,CLI-150,2026-01-09,email,bug,baixa,"2,45",7.7598368772789135,5.0
TCK-00102,CLI-036,2026-01-09,chat,bug,media,"0,67",5.684535183157961,5.0
TCK-00103,CLI-145,2026-01-09,chat,cobranca,media,"2,20",7.651097401194945,3.0
TCK-00104,CLI-002,2026-01-09,email,cobranca,media,"3,72",9.178326352046964,4.0
TCK-00105,CLI-144,2026-01-09,telefone,cobranca,media,"3,70",10.739898575397158,4.0
TCK-00106,CLI-142,2026-01-09,email,bug,media,"5,15",12.98908676360937,4.0
TCK-00107,CLI-141,2026-01-09,chat,bug,alta,"1,42",2.8971431212171277,4.0
TCK-00108,CLI-120,2026-01-09,chat,cobranca,baixa,"3,31",8.764988133741031,3.0
TCK-00109,CLI-085,2026-01-09,telefone,duvida_de_uso,media,"3,39",10.41425001527689,5.0
TCK-00110,CLI-127,2026-01-09,chat,duvida_de_uso,baixa,"0,63",4.554954017298828,4.0
TCK-00111,CLI-050,2026-01-09,email,bug,media,"6,07",14.622580501016877,
TCK-00112,CLI-141,2026-01-10,telefone,bug,media,,8.963029169450344,4.0
TCK-00113,CLI-101,2026-01-10,chat,elogio,alta,"3,18",9.115955561264919,4.0
TCK-00114,CLI-083,2026-01-10,chat,cobranca,baixa,"0,71",4.1286469647419555,4.0
TCK-00115,CLI-092,2026-01-10,chat,bug,media,"3,79",9.518816009411593,
TCK-00116,CLI-103,2026-01-10,email,elogio,media,"13,91",27.012297745841312,3.0
TCK-00117,CLI-007,2026-01-10,chat,duvida_de_uso,media,"0,66",5.554730783087539,3.0
TCK-00118,CLI-026,2026-01-10,telefone,bug,alta,"6,94",16.014447208846427,4.0
TCK-00119,CLI-045,2026-01-10,email,duvida_de_uso,baixa,"3,95",10.479427334119709,4.0
TCK-00120,CLI-021,2026-01-10,chat,cobranca,media,"2,05",9.769304879316508,4.0
TCK-00121,CLI-080,2026-01-10,telefone,duvida_de_uso,media,,15.175447271452143,
TCK-00122,CLI-121,2026-01-10,chat,duvida_de_uso,alta,,11.16580924568548,4.0
TCK-00123,CLI-118,2026-01-10,telefone,cobranca,baixa,"8,15",18.079486248593902,4.0
TCK-00124,CLI-085,2026-01-10,email,bug,critica,"1,22",4.671910444895077,5.0
TCK-00125,CLI-154,2026-01-10,telefone,elogio,critica,"8,37",16.468636864257736,3.0
TCK-00126,CLI-102,2026-01-10,email,duvida_de_uso,alta,"4,52",11.503741333423633,4.0
TCK-00127,CLI-015,2026-01-10,chat,duvida_de_uso,baixa,"0,43",0.5,5.0
TCK-00128,CLI-138,2026-01-10,chat,cobranca,alta,"1,48",6.080225786394328,4.0
TCK-00129,CLI-104,2026-01-10,chat,duvida_de_uso,baixa,"2,41",7.813934052784698,4.0
TCK-00130,CLI-115,2026-01-10,telefone,duvida_de_uso,alta,"2,43",7.04678719958346,3.0
TCK-00131,CLI-102,2026-01-10,chat,duvida_de_uso,media,"1,86",6.211021448531551,4.0
TCK-00132,CLI-100,2026-01-10,chat,elogio,baixa,"1,29",3.45201589546281,4.0
TCK-00133,CLI-017,2026-01-10,email,cobranca,media,"18,76",38.84605247291354,2.0
TCK-00134,CLI-101,2026-01-10,chat,cobranca,alta,"3,34",8.513854604222676,3.0
TCK-00135,CLI-144,2026-01-10,chat,bug,alta,"2,19",5.491088359603708,5.0
TCK-00136,CLI-055,2026-01-10,email,duvida_de_uso,media,"1,42",6.375277941457965,5.0
TCK-00137,CLI-109,2026-01-11,chat,duvida_de_uso,media,"4,90",11.984316624173978,3.0
TCK-00138,CLI-006,2026-01-11,telefone,bug,alta,"5,07",11.583745513430857,5.0
TCK-00139,CLI-063,2026-01-11,chat,cobranca,alta,,3.9876160958356017,3.0
TCK-00140,CLI-079,2026-01-11,chat,bug,alta,"0,94",4.685992171834498,4.0
TCK-00141,CLI-177,2026-01-11,email,bug,media,"3,16",10.70825932341055,4.0
TCK-00142,CLI-039,2026-01-11,chat,bug,media,"2,21",7.683923923157856,3.0
TCK-00143,CLI-050,2026-01-11,email,bug,alta,"5,48",12.81345778479807,5.0
TCK-00144,CLI-074,2026-01-11,email,bug,baixa,"3,33",10.265323493443857,
TCK-00145,CLI-179,2026-01-11,chat,duvida_de_uso,media,"3,49",9.320891853884769,5.0
TCK-00146,CLI-154,2026-01-11,email,duvida_de_uso,baixa,"2,43",7.978974620944689,4.0
TCK-00147,CLI-007,2026-01-11,email,bug,media,"3,33",9.225726928713174,4.0
TCK-00148,CLI-043,2026-01-11,chat,bug,alta,"5,02",12.92581280470298,3.0
TCK-00149,CLI-148,2026-01-11,email,cobranca,baixa,"6,00",13.13528818743171,
TCK-00150,CLI-011,2026-01-11,email,bug,media,"3,49",7.568966861449106,
TCK-00151,CLI-155,2026-01-11,email,duvida_de_uso,baixa,"4,41",12.29061035657626,5.0
TCK-00152,CLI-051,2026-01-11,chat,duvida_de_uso,alta,"2,01",8.869234386966633,4.0
TCK-00153,CLI-166,2026-01-11,email,duvida_de_uso,alta,"0,98",3.12767701375135,5.0
TCK-00154,CLI-053,2026-01-11,chat,cobranca,media,"6,21",14.440613391546327,5.0
TCK-00155,CLI-079,2026-01-11,chat,duvida_de_uso,alta,"0,99",4.111754666822308,5.0
TCK-00156,CLI-120,2026-01-11,email,elogio,baixa,"2,59",8.979973431736079,5.0
TCK-00157,CLI-023,2026-01-11,telefone,cobranca,alta,,33.399977249210636,3.0
TCK-00158,CLI-101,2026-01-11,email,bug,alta,"1,37",10.458018621198594,4.0
TCK-00159,CLI-091,2026-01-11,chat,bug,baixa,"1,92",6.000139692341032,4.0
TCK-00160,CLI-142,2026-01-11,email,bug,critica,,21.052120770077796,3.0
TCK-00161,CLI-180,2026-01-11,chat,duvida_de_uso,baixa,"7,12",18.26376769565596,4.0
TCK-00162,CLI-120,2026-01-11,email,duvida_de_uso,media,"5,02",12.829330183149416,3.0
TCK-00163,CLI-074,2026-01-11,telefone,bug,baixa,"8,22",17.845065268769453,4.0
TCK-00164,CLI-074,2026-01-11,email,bug,alta,"2,95",8.447021399702741,4.0
TCK-00165,CLI-076,2026-01-11,chat,duvida_de_uso,baixa,"0,12",3.2313072781584884,3.0
TCK-00166,CLI-147,2026-01-12,email,cobranca,baixa,"7,72",18.59834634978688,3.0
TCK-00167,CLI-058,2026-01-12,email,cobranca,media,"3,43",7.858694291231192,5.0
TCK-00168,CLI-031,2026-01-12,email,elogio,critica,"2,68",7.583573428081315,4.0
TCK-00169,CLI-061,2026-01-12,chat,bug,baixa,"1,49",5.267273037411286,5.0
TCK-00170,CLI-005,2026-01-12,chat,duvida_de_uso,media,"3,44",6.603080599201332,
TCK-00171,CLI-020,2026-01-12,telefone,elogio,media,"5,69",14.523716518958944,4.0
TCK-00172,CLI-017,2026-01-12,chat,cobranca,alta,"2,10",8.378903499064215,4.0
TCK-00173,CLI-139,2026-01-12,telefone,duvida_de_uso,baixa,"4,84",10.764954768714102,4.0
TCK-00174,CLI-131,2026-01-12,email,duvida_de_uso,media,"1,35",6.966232671581977,
TCK-00175,CLI-126,2026-01-12,chat,bug,critica,"1,79",3.845074290739861,4.0
TCK-00176,CLI-084,2026-01-12,chat,cobranca,media,"0,84",4.5513681052534345,4.0
TCK-00177,CLI-130,2026-01-12,chat,duvida_de_uso,media,"0,82",4.278626835430773,4.0
TCK-00178,CLI-030,2026-01-12,telefone,duvida_de_uso,alta,"4,51",11.250374926101639,4.0
TCK-00179,CLI-163,2026-01-12,chat,duvida_de_uso,media,"2,19",7.065469796700549,4.0
TCK-00180,CLI-091,2026-01-12,telefone,duvida_de_uso,media,,7.268582327776204,5.0
TCK-00181,CLI-169,2026-01-12,chat,bug,media,"1,72",5.513275813330466,3.0
TCK-00182,CLI-028,2026-01-12,email,cobranca,alta,"4,79",11.461765520454625,4.0
TCK-00183,CLI-090,2026-01-12,chat,duvida_de_uso,critica,"3,49",11.327867257226533,3.0
TCK-00184,CLI-126,2026-01-12,chat,bug,media,"3,10",7.711892781843886,3.0
TCK-00185,CLI-090,2026-01-12,telefone,duvida_de_uso,media,"0,67",7.596456503350337,5.0
TCK-00186,CLI-081,2026-01-13,telefone,elogio,media,"0,29",2.5671248963081212,5.0
TCK-00187,CLI-030,2026-01-13,email,duvida_de_uso,baixa,"1,79",6.590140296406851,5.0
TCK-00188,CLI-069,2026-01-13,email,duvida_de_uso,baixa,,4.386354030793973,5.0
TCK-00189,CLI-043,2026-01-13,email,duvida_de_uso,baixa,,19.73579568364753,4.0
TCK-00190,CLI-055,2026-01-13,chat,cobranca,baixa,"1,67",8.086489192338167,4.0
TCK-00191,CLI-124,2026-01-13,email,cobranca,alta,"1,05",5.70268326703858,5.0
TCK-00192,CLI-114,2026-01-13,chat,cobranca,baixa,"1,66",5.677619078396541,4.0
TCK-00193,CLI-110,2026-01-13,chat,bug,baixa,"0,31",5.606587566736414,5.0
TCK-00194,CLI-066,2026-01-13,telefone,elogio,media,"1,07",3.4055287499764675,5.0
TCK-00195,CLI-173,2026-01-13,email,elogio,baixa,"2,60",6.830586529742283,5.0
TCK-00196,CLI-016,2026-01-13,chat,duvida_de_uso,baixa,"1,35",6.282215697248565,5.0
TCK-00197,CLI-062,2026-01-13,email,duvida_de_uso,baixa,"2,58",8.849553183087128,5.0
TCK-00198,CLI-022,2026-01-13,telefone,bug,baixa,"4,90",12.310426983203005,5.0
TCK-00199,CLI-062,2026-01-13,email,duvida_de_uso,media,"6,85",15.147836236010463,4.0
TCK-00200,CLI-174,2026-01-13,email,bug,alta,,9.514738156813365,5.0
TCK-00201,CLI-066,2026-01-13,email,bug,alta,"7,11",17.49506563069466,4.0
TCK-00202,CLI-164,2026-01-13,telefone,elogio,alta,"2,30",7.503073001471573,4.0
TCK-00203,CLI-090,2026-01-13,email,bug,media,"7,79",15.705484253430104,3.0
TCK-00204,CLI-126,2026-01-13,chat,duvida_de_uso,critica,,5.790335433647941,4.0
TCK-00205,CLI-083,2026-01-13,chat,bug,media,"3,87",12.232637448742812,3.0
TCK-00206,CLI-048,2026-01-13,chat,duvida_de_uso,media,,4.449936018629657,4.0
TCK-00207,CLI-138,2026-01-13,email,duvida_de_uso,media,,10.146378492513287,4.0
TCK-00208,CLI-175,2026-01-13,email,bug,media,"12,92",28.285773703698567,4.0
TCK-00209,CLI-048,2026-01-13,email,duvida_de_uso,media,"3,72",10.512086391520537,4.0
TCK-00210,CLI-141,2026-01-14,email,elogio,baixa,"6,81",14.127341826207108,4.0
TCK-00211,CLI-048,2026-01-14,chat,duvida_de_uso,alta,"4,44",9.474820352059881,3.0
TCK-00212,CLI-130,2026-01-14,email,elogio,baixa,"5,46",15.625742294127209,4.0
TCK-00213,CLI-143,2026-01-14,email,cobranca,alta,"6,16",12.521621495814815,3.0
TCK-00214,CLI-081,2026-01-14,email,duvida_de_uso,alta,"2,35",6.394128654085115,5.0
TCK-00215,CLI-133,2026-01-14,chat,bug,media,,5.441095999174112,3.0
TCK-00216,CLI-050,2026-01-14,email,bug,baixa,"1,42",5.23121538807609,4.0
TCK-00217,CLI-015,2026-01-14,chat,cobranca,media,"2,84",8.97690035242087,5.0
TCK-00218,CLI-018,2026-01-14,email,duvida_de_uso,media,"3,64",7.350918262131055,5.0
TCK-00219,CLI-081,2026-01-14,telefone,duvida_de_uso,critica,,10.78447888951156,4.0
TCK-00220,CLI-163,2026-01-14,chat,cobranca,alta,,5.32032121438869,4.0
TCK-00221,CLI-023,2026-01-14,email,bug,alta,"1,99",7.606485694292421,5.0
TCK-00222,CLI-083,2026-01-14,email,cobranca,media,"6,68",14.169511900856167,4.0
TCK-00223,CLI-127,2026-01-14,email,bug,alta,"4,08",8.810801931769163,3.0
TCK-00224,CLI-037,2026-01-14,email,elogio,alta,"3,90",10.334830466169723,5.0
TCK-00225,CLI-130,2026-01-14,email,bug,baixa,"2,96",6.36758045192705,5.0
TCK-00226,CLI-056,2026-01-14,telefone,bug,baixa,"1,84",8.23586389510904,5.0
TCK-00227,CLI-146,2026-01-15,chat,cobranca,baixa,"4,78",11.836069148031356,3.0
TCK-00228,CLI-105,2026-01-15,email,bug,media,"8,88",17.9341810455474,3.0
TCK-00229,CLI-099,2026-01-15,chat,elogio,alta,"2,25",5.47601433481668,4.0
TCK-00230,CLI-032,2026-01-15,email,cobranca,media,"3,21",7.82800203036266,4.0
TCK-00231,CLI-084,2026-01-15,telefone,bug,media,"9,32",17.429414041364485,2.0
TCK-00232,CLI-155,2026-01-15,email,bug,critica,,7.417933049351,5.0
TCK-00233,CLI-004,2026-01-15,chat,elogio,baixa,"1,48",4.465221551938114,5.0
TCK-00234,CLI-137,2026-01-15,chat,duvida_de_uso,baixa,"3,88",10.582116774642255,4.0
TCK-00235,CLI-089,2026-01-15,email,cobranca,critica,"2,44",8.194536602950095,
TCK-00236,CLI-130,2026-01-15,email,bug,critica,"3,60",10.921926230091746,5.0
TCK-00237,CLI-120,2026-01-15,email,elogio,alta,"0,39",4.080363818033197,5.0
TCK-00238,CLI-078,2026-01-15,telefone,duvida_de_uso,baixa,,20.925723072317318,4.0
TCK-00239,CLI-056,2026-01-15,chat,cobranca,critica,"3,65",11.655549916188617,5.0
TCK-00240,CLI-113,2026-01-15,chat,duvida_de_uso,alta,"4,55",11.583135344703754,3.0
TCK-00241,CLI-026,2026-01-15,chat,bug,alta,"0,96",5.212070933184912,5.0
TCK-00242,CLI-106,2026-01-15,telefone,elogio,baixa,"10,35",20.800492437981806,
TCK-00243,CLI-018,2026-01-15,chat,elogio,media,"2,01",5.132006904452596,
TCK-00244,CLI-117,2026-01-15,chat,duvida_de_uso,alta,"4,83",13.609349894984554,4.0
TCK-00245,CLI-114,2026-01-15,chat,elogio,alta,"2,79",8.923970506917362,3.0
TCK-00246,CLI-016,2026-01-15,email,bug,media,"6,29",15.34792198345456,4.0
TCK-00247,CLI-137,2026-01-15,telefone,bug,media,,10.945867718376615,5.0
TCK-00248,CLI-075,2026-01-15,email,bug,alta,"2,42",9.79637987620657,5.0
TCK-00249,CLI-142,2026-01-15,email,duvida_de_uso,media,"0,79",4.070465379813385,4.0
TCK-00250,CLI-008,2026-01-15,telefone,bug,media,"8,47",17.04078704481409,3.0
TCK-00251,CLI-033,2026-01-15,email,duvida_de_uso,baixa,"0,20",2.4994888122052386,5.0
TCK-00252,CLI-089,2026-01-15,email,bug,baixa,"6,78",17.559521766521854,5.0
TCK-00253,CLI-034,2026-01-15,email,cobranca,alta,"8,46",16.563604248160427,3.0
TCK-00254,CLI-060,2026-01-16,chat,cobranca,baixa,"0,60",2.9593194805664567,4.0
TCK-00255,CLI-119,2026-01-16,telefone,cobranca,baixa,"2,54",11.911793249294664,5.0
TCK-00256,CLI-027,2026-01-16,email,bug,critica,"0,89",6.01908228768275,4.0
TCK-00257,CLI-122,2026-01-16,email,cobranca,alta,"2,13",5.736114694699567,4.0
TCK-00258,CLI-019,2026-01-16,chat,bug,baixa,,9.482046189516963,4.0
TCK-00259,CLI-032,2026-01-16,telefone,cobranca,media,"6,24",11.718347527035728,4.0
TCK-00260,CLI-106,2026-01-16,email,duvida_de_uso,alta,"5,66",13.333285420416534,3.0
TCK-00261,CLI-143,2026-01-16,telefone,duvida_de_uso,media,"2,55",8.682564645010952,5.0
TCK-00262,CLI-031,2026-01-16,telefone,bug,media,"0,23",5.695151950650759,5.0
TCK-00263,CLI-054,2026-01-16,email,cobranca,media,"1,16",2.239854542346288,4.0
TCK-00264,CLI-167,2026-01-16,telefone,elogio,baixa,"2,96",6.347819292611415,5.0
TCK-00265,CLI-179,2026-01-16,chat,cobranca,alta,"0,85",4.34667024402587,4.0
TCK-00266,CLI-105,2026-01-16,chat,elogio,baixa,"4,10",14.557735495287346,3.0
TCK-00267,CLI-081,2026-01-16,email,elogio,media,"10,57",23.359945614088208,4.0
TCK-00268,CLI-063,2026-01-16,telefone,bug,baixa,"4,62",11.870644884385307,4.0
TCK-00269,CLI-111,2026-01-16,chat,cobranca,baixa,"0,60",2.2351919396631468,4.0
TCK-00270,CLI-107,2026-01-16,chat,bug,baixa,"5,21",9.195037722198373,3.0
TCK-00271,CLI-054,2026-01-16,telefone,duvida_de_uso,alta,"3,90",10.076828761255202,5.0
TCK-00272,CLI-005,2026-01-16,chat,bug,baixa,"2,10",6.639324670586213,4.0
TCK-00273,CLI-028,2026-01-16,telefone,elogio,baixa,"5,33",12.184771778436849,4.0
TCK-00274,CLI-173,2026-01-16,telefone,cobranca,baixa,"1,20",4.598247267752425,5.0
TCK-00275,CLI-076,2026-01-16,email,bug,alta,"2,59",6.531238466773416,4.0
TCK-00276,CLI-087,2026-01-16,email,duvida_de_uso,media,"3,32",7.514997436896584,5.0
TCK-00277,CLI-085,2026-01-17,email,duvida_de_uso,critica,"4,33",12.875004314085835,4.0
TCK-00278,CLI-141,2026-01-17,telefone,cobranca,alta,"4,66",10.057055539264146,4.0
TCK-00279,CLI-012,2026-01-17,email,elogio,media,"5,32",12.160202600542666,4.0
TCK-00280,CLI-015,2026-01-17,chat,bug,alta,"1,31",5.296496100309843,4.0
TCK-00281,CLI-050,2026-01-17,email,duvida_de_uso,baixa,"0,63",5.1856078097094755,5.0
TCK-00282,CLI-088,2026-01-17,email,duvida_de_uso,critica,"2,94",7.015324620741303,4.0
TCK-00283,CLI-121,2026-01-17,chat,duvida_de_uso,critica,"1,94",7.966654931329523,
TCK-00284,CLI-089,2026-01-17,email,duvida_de_uso,baixa,"0,59",3.199550643880933,4.0
TCK-00285,CLI-080,2026-01-17,telefone,bug,media,"2,08",6.501478288880144,4.0
TCK-00286,CLI-169,2026-01-17,email,bug,baixa,"4,04",12.733124844611764,
TCK-00287,CLI-029,2026-01-17,telefone,duvida_de_uso,media,"2,37",5.805612277359357,
TCK-00288,CLI-103,2026-01-17,email,elogio,alta,"3,92",11.129369645394345,4.0
TCK-00289,CLI-098,2026-01-17,telefone,bug,critica,,8.611909134499346,5.0
TCK-00290,CLI-086,2026-01-17,chat,bug,media,"3,36",9.517073723103307,4.0
TCK-00291,CLI-146,2026-01-17,email,cobranca,alta,"1,52",5.558336627808,5.0
